LATITUDE,LONGITUDE
46.37449806,-117.0153944
37.32668528,-79.20043056
31.94252778,-102.2019139
43.53291472,-84.07964722
32.69284944,-83.64921083
40.19349528,-76.76340361
32.33313333,-88.75120556
26.17583333,-98.23861111
42.37422778,-122.8734978
32.30064417,-86.39397611
39.14096722,-96.67083278
42.93451639,-71.43705583
43.16948806,-86.23822306
28.10275,-80.64580556
41.44852639,-90.50753917
32.51086556,-92.03768778
37.62404861,-118.8377722
30.69141667,-88.24283333
37.62581722,-120.9544214
48.25937778,-101.2803339
46.353639,-87.395361
36.5869825,-121.8429478
43.13985778,-89.33751361
46.91630556,-114.0905556
38.50886722,-107.8938333
41.39302583,-70.6143325
47.20770806,-119.3201897
33.67975,-78.92833333
34.82916444,-77.61213778
42.26733944,-71.87570944
43.41713889,-124.2460278
34.20080083,-119.2072164
